cell_id,demand,visit_count,trajectory_count,entry_count
R012C024,0.7748041479614285,15,2,6
R012C025,0.652523889957255,11,2,5
R012C026,0.8470408832903636,17,2,7
R012C027,0.5552653932907005,8,2,4
R012C028,0.6775456512948741,12,2,5
R012C029,0.432985135286527,4,2,3
R012C030,0.21845079315310056,2,1,1
R012C031,0.0,0,0,0
R012C032,0.0,0,0,0
R012C033,0.0,0,0,0
R012C034,0.0,0,0,0
R012C035,0.0,0,0,0
R012C036,0.0,0,0,0
R012C037,0.0,0,0,0
R012C038,0.0,0,0,0
R012C039,0.0,0,0,0
R012C040,0.0,0,0,0
R012C041,0.0,0,0,0
R012C042,0.0,0,0,0
R012C043,0.0,0,0,0
R012C044,0.0,0,0,0
R012C045,0.0,0,0,0
R012C046,0.0,0,0,0
R012C047,0.0,0,0,0
R012C048,0.0,0,0,0
R012C049,0.0,0,0,0
R012C050,0.0,0,0,0
R013C000,0.0,0,0,0
R013C001,0.0,0,0,0
R013C002,0.0,0,0,0
R013C003,0.0,0,0,0
R013C004,0.0,0,0,0
R013C005,0.0,0,0,0
R013C006,0.0,0,0,0
R013C007,0.0,0,0,0
R013C008,0.0,0,0,0
R013C009,0.0,0,0,0
R013C010,0.0,0,0,0
R013C011,0.0,0,0,0
R013C012,0.0,0,0,0
R013C013,0.0,0,0,0
R013C014,0.0,0,0,0
R013C015,0.0,0,0,0
R013C016,0.0,0,0,0
R013C017,0.30374236031872154,4,1,2
R013C018,0.30374236031872154,4,1,2
R013C019,0.0,0,0,0
R013C020,0.0,0,0,0
R013C021,0.4107919226328298,4,2,2
R013C022,0.48020010927784323,5,2,4
R013C023,0.65426459358347,13,1,5
R013C024,0.48368145925222816,9,1,3
R013C025,0.2815491476650243,4,1,1
R013C026,0.46083544530806797,6,2,2
R013C027,0.0,0,0,0
R013C028,0.18690161589713872,1,1,1
R013C029,0.21845079315310056,2,1,1
R013C030,0.18690161589713872,1,1,1
